navn,tlf
ADVODAN AALBORG ADVOKATAKTIESELSKAB,96313300
ADVOKAT JØRGEN NØRGAARD,98138514
ADVOKAT KASPER ØRTOFT,96460000
ADVOKAT MOGENS OLESEN,96318800
ADVOKAT PALLE JUUL HANSEN,98310933
ADVOKAT POUL THORUP,96304230
ADVOKATANPARTSSELSKABET ANDERS BREDGAARD,24760097
ADVOKATANPARTSSELSKABET CHARLES LINDBERG,98381055
ADVOKATANPARTSSELSKABET ERLING KRAGH-PEDERSEN,98133300
ADVOKATANPARTSSELSKABET JOHN PETER ANDERSEN,98110266
ADVOKATANPARTSSELSKABET KJ3C,72211690
ADVOKATANPARTSSELSKABET LAPS,72211690
ADVOKATANPARTSSELSKABET MBW 1,72211690
ADVOKATANPARTSSELSKABET MOESGAARD,20163439
ADVOKATANPARTSSELSKABET SKJØNAA,72211690
ADVOKATANPARTSSELSKABET THOMAS SCHULTZ,98180929
ADVOKATERNE NIELS PEDERSEN & CARL-SEJR JESPERSEN,98351577
ADVOKATERNE SANKT KNUDS TORV P/S,86130600
ADVOKATERNE SANKT KNUDS TORV P/S AALBORGADVOKATEN,86186833
ADVOKATFIRMA  JENS RYE-ANDERSEN,96318800
ADVOKATFIRMAET AMANDUSSON,24676898
ADVOKATFIRMAET BENT STAMER,20873711
ADVOKATFIRMAET BØRGE NIELSEN,98129800
ADVOKATFIRMAET DYRBERG & PARTNERE A/S - HALS,98900977
ADVOKATFIRMAET FRYD & NIELSEN APS,98350231
ADVOKATFIRMAET KARINA HEDEGAARD H,31588312
ADVOKATFIRMAET STIG EJLER JENSEN,28352010
ADVOKATFIRMAET THOMAS JENSEN,25730066
ADVOKATFIRMAET ULRIK HENRIKSEN,61402630
ADVOKATFIRMAET V/ÅSE GAHNER KLEMMENSEN,98262733
ADVOKATFIRMAET VINGAARDSHUS A/S,46929200
ADVOKATFIRMAET.DK I/S,98133300
ADVOKATHUS NORD I/S,96962222
ANPARTSSELSKABET AF 9/6 AALBORG,98111195
BERTHELSEN JURA,50511944
DALSGAARD ADVOKATFIRMA,40829290
DIANA BERGMOS HOLDING APS,60388385
ERHVERVSJURIDISK RÅDGIVNING,61792718
HELLMUND INVEST APS,24486476
HJULMANDKAPTAIN ADVOKATPARTNERSELSKAB,72211630
HOSTRUP BYLOV APS,22101313
HOVMØLLER & THORUP ADVOKATFIRMA I/ S,96304230
HOVMØLLER & THORUP ADVOKATPARTNERSELSKAB,96304230
JAKOB KIRKEGAARD KORTBÆK,28104867
JENSEN & KRAGBAK ADVOKATER A/S,96318800
JEZPER JURISTERI FRIT FORLAG HØJRE V/ JESPER VEIBY,30431949
JFH EJENDOMME V/FLEMMING HØGDAHL,98127777
JURABUTIKKEN APS,42640013
JURISTERNE,22592516
JUUL ERIKSEN & ERNST ADVOKATFIRMA I/S,41119966
KOMPLEXT ADVOKATER,78771178
KUA AALBORG P/S,78777800
LEGALHERO APS,41245025
LEHMAN MILLER HOLDING IVS,26852310
LYSHOLT FABER APS,30926832
MASLAS AALBORG I/S,98357913
NIKMARAM CONSULTING & TRADE,20401612
NIKOLAJSEN ADVOKATFIRMA,70707112
OX UDBUDSRÅDGIVNING,22406042
ØRNDAL,96318800
PATRADE LEGAL ADVOKATANPARTSSELSKAB,70203770
REEDTZ & ASP MØLLER,22730740
SKATTESAGSADVOKATERNE APS,25148377
SOCIALRÅDGIVERFIRMAET AFDELING AALBORG,24242397
SPJ LAW,42303404
STAGE ADVOKATFIRMA,75122000
STORM ADVOKATFIRMA I/S,72301205
STORM ADVOKATFIRMA P/S,72301205
UDLEJER FLEMMING HØGDAHL - (SANKT J. GADE),98127777
AALBORG AKUPUNKTUR KLINIK V/PER ANDERSEN,29272528
AD AKUPUNKTUR OG FYSIOTERAPI V/AN DORTE SIVESGAARD,61703092
AKUPUNKTØR & MT MARIANNE KJELDGAARD,30289884
AKUPUNKTUR HOS P,42910819
AKUPUNKTUR OG MASSAGE V/PIA TANGE ANDERSEN,25213771
AKUPUNKTUR V. KIT BALLERMANN,40642802
BMS AKUPUNKTUR V/CHRISTINA LILL,61117590
BOEL AKUPUNKTUR ÅLBORG,97875800
ENGBO AKUPUNKTUR,24800026
GULDBRANDSEN AKUPUNKTUR/SKINCARE V/THOMAS GULDBRANDSEN,27683585
KROP OG SIND - AKUPUNKTUR OG MASSAGE,29724042
LINE SIMONSEN AKUPUNKTUR,53772925
PSYKOLOG OG AKUPUNKTØR ANN LOUISE HANSEN,29807201
SMERTEFRI AKUPUNKTUR KLINIK V/BU ER LANGLOIS,25711288
WINKELMANNS AKUPUNKTUR OG FYSIOTERAPI V/LENE OG MICHAEL WINKELMANN,98780818
A.G.M. HOLDING APS,26713020
AALBORG ROBOTKLIP,60555050
AALBORG TAG OG FACADE,21499194
AALBORG VILLAGARTNER V/BJARNE ANDERSEN,41637331
AM SKOV- OG HAVESERVICE,23713512
AMSMULTISERVICE,28220430
AMTOFTS ANLÆG,22634541
ANLÆG NORD APS,98182188
ANLÆGSGARTNER LARS RASMUSSEN,98333584
ARTURS HAVEANLÆG,98253939
BACKYARD,30465717
BELEAF APS,40473727
DEN ENGELSKE TRÆPLEJER,51956795
DIN-HAVESERVICE,26332324
DORTE RISAGER,40317913
EGHOLM DIGELAUG,98174969
ENTREPRENØR MICHAEL ESKHOLT,42494525
ERSTVANG ENTREPRISE APS,22464043
EXOCLEAN,60378409
FREJLEV PLÆNEKLIP V/JAN JENSEN,98343484
FRYDENDALS HAVESERVICE,51929157
GODENSGAARD V/KIRSTEN PINSTRUP,86560250
GRØN ERHVERVS- OG BORGERSERVICE,98651100
GRØNNE FINGER.,91874912
GUG ANLÆG OG PLANTESKOLE A/S,98140858
HAVESERVICE AALBORG,22407310
HÆKKEKLIPPEREN,40142443
HEDES HAVE & ENTREPRENØRSERVICE,29909454
HEDEDANMARK A/S GS+SL SVENSTRUP,87281000
JLC HAVESERVICE,42499220
JOYNESS HAPPIY GUIDED INTUITIONS,20722312
JYSK LANDBRUG OG ENTREPRENØR V/ANDREAS OVERGAARD JENSEN,22547289
JYSK SKOV&PARK,50701010
K G TRÆER V/KURT GRØNBÆK OLESEN,20148182
KÆRAGER ANLÆG A/S,24251188
KÆRAGER ANLÆGSGARTNERI V/LARS M SVENSTRUP,98686007
KD HAVESERVICE,22441053
KENNETHS HAVESERVICE,28437644
KEPA TOPKAPNING,40681347
KIRKEGÅRDSARBEJDE V/ERIK ØRSTED,98343364
KONSULENT MINDET,21403097
KVISTGAARD,22873155
LARSENS HAVESERVICE V/KASPER WINTHER LARSEN,27890001
MARIUS HAVE & ANLÆG,41154728
MARTIN KAJABA,50282660
MHB ANLÆG,25549321
MNOUTDOOR,28106518
MT MULTISERVICE,50431490
MVT LANDSKABSARKITEKTUR,53370570
N. BUUS & CO APS,22216939
NIBE HAVER,23889240
NIBE-STØVRING LÆPLANTNINGSLAUG,98352246
NIELSENS MULTISERVICE,28117098
NJ TOTALSERVICE,22954812
NORDJYDSK ANLÆGSGARTNERI V/ERIK LARSEN,98351105
NYGAARD TRÆFLYTNING,40296323
OKNYGAARD A/S,70215400
OLE MØLLER V/OLE MØLLER,98262909
PG HAVEHJÆLP,27204408
R. BILLESKOV,30289744
RUBEN KANNEGAARD,20608676
RUBIENS HAVE OG VICEVÆRTSERVICE,98189101
RUNE G - ANLÆGSGARTNERI & BYG V/ RUNE D. GRETH,96979090
SKALBORG HAVESERVICE,25600477
SKIBSTED PUMPELAUG,98332424
SKOVVANGS BELÆGNING V/ESBEN JUUL JENSEN,98265026
STEN OG TRÆ/KNUD LARSEN,98120847
STUBFRÆSER,23627448
SWIMLAB V/ JESPER KRISTIANSEN,26131122
T.H.ENGEMAND,30954547
TC-SERVICE V/THOMAS CHRISTENSEN,61348788
VADUM ANLÆG /CLAUS ØRSTED,70707968
VALSTED PUMPELAG,40341580
VENDNERHAVEN,51719346
VODSKOV TRÆ- OG HAVESERVICE V/GABRIEL JENSEN,42728626
VR ENTREPRISE,30512983
WAGNER ANLÆG OG HAVEDESIGN APS,30690680
AALBORG LØVE APOTEK,98120366
AALBORG STORCENTER APOTEK,98185218
AALBORGHUS APOTEK HANNE ENEVOLDSEN,98140499
APOTEKSFILIAL AALBORG Ø FYRKILDEN,98155188
BUDOLFI APOTEK V/MIKAEL SELL,98120677
HALS APOTEK,98251013
KENNEDY APOTEK,98101032
LINDHOLM APOTEK,98172022
NIBE APOTEK,98351023
NØRRESUNDBY APOTEK V/ RIKKE HOLM LØVAAS,98171944
SEJLFLOD APOTEK V/FINN OSSIAN,98319335
SKALBORG APOTEK,21608664
SKIPPEREN APOTEK,98136366
SLOTGADE APOTEK,98140499
SOLSIDENS APOTEK,96321750
SVENSTRUP APOTEK,98381167
VEJGAARD APOTEK AALBORG V/RINETTE ROHDE,98136580
VODSKOV APOTEK,98294020
48C,60259099
AAGAARD BYG,60685951
AB BYGTEK,40782751
ACA CONCEPT APS,60523855
ADAPA A/S,93404142
AK 83 ARKITEKTER A/S,98116277
ÅLBORG AFDELING,26344149
AMM BYGGERÅDGIVNING,28444855
ANNE BERG INDRETNING,51784710
ANUBHAVI TIWARI PROJEKTER,91807094
ARC-CON V/CLAUS LØKKE,98161641
ARK-DM APS,98384999
ARKDESIGNDK V/HENRIETTE KNAK,26296990
ARKI-SPACE,40777443
ARKITEKT CHRISTIAN LOMBORG,20615162
ARKITEKT POUL E BUNDGAARD,98294433
ARKITEKT TEGNSTUE,40363888
ARKITEKT TAGE BACH,61461833
ARKITEKTERNE BJØRK & MAIGAARD APS,98168866
ARKITEKTFIRMAET BELMA ILIC V/BELMA ILIC,60662411
ARKITEKTFIRMAET BJARKE BENTZEN APS,98160161
ARKITEKTFIRMAET HENRIK BAST,30208892
ARKITEKTFIRMAET KJAER & RICHTER,86130633
ARKITEKTFIRMAET MIKKEL TROELSEN,61164411
ARKITEKTFIRMAET MZ APS,98790826
ARKITEKTFIRMAET NORD A/S,99352001
ARKITEKTFIRMAET NØRGAARD BUCHWALD,23849844
ARKITEKTFIRMAET ROTTBØLL & PARTNERS APS,82389580
ARKITEKTFIRMAET ROTTBØLL APS,40857726
ARKITEKTHUSET VODSKOV A/S,98294266
ARKITEKTURKLINIKKEN,23905176
ARKPLAN APS,86912915
ART-KON,29448213
ARTPOWER,61351674
BAISGAARD - ARKITEKTRÅDGIVNING,30226056
BJERRE OG LINDSKOG APS,98286566
BOBBY FALCON OG CO,51371718
BOJSEN BYGGE RÅDGIVNING,26194110
BOLIGSTIL V/ANITA WODSTRUP MADSEN,51221426
BOYEHH V/BOYE HAUBRO HANSEN,24803803
BY- OG LANDSKABSPLANER,98132700
BYGBART,61774474
BYGGETEKNISK RÅDGIVNING V/CARSTEN BACH PEDERSEN,98180290
